"Points:0","Points:1","Points:2","pressure","total_pressure","velocity_magnitude","x_velocity","y_velocity","z_velocity"
-0.70697,-0.36177,1.0652,-35.602,653.69,0,0,0,0
-0.70709,-0.36198,1.0621,-41.555,647.31,0,0,0,0
-0.7071,-0.35906,1.0591,-43.225,644.71,0,0,0,0
-0.70697,-0.35542,1.0592,-38.705,648.99,0,0,0,0
-0.70678,-0.35334,1.0623,-29.721,658.73,0,0,0,0
-0.70669,-0.35504,1.0662,-25.084,664.29,0,0,0,0
-0.7068,-0.35917,1.0671,-28.553,661.23,0,0,0,0
-0.70704,-0.36593,1.0673,-36.751,652.15,0,0,0,0
-0.70722,-0.36909,1.0653,-42.791,645.11,0,0,0,0
-0.70736,-0.36901,1.0616,-48.492,638.47,0,0,0,0
-0.70732,-0.36613,1.06,-47.994,639.6,0,0,0,0
-0.70727,-0.37239,1.0672,-43.657,642.93,0,0,0,0
-0.70746,-0.37575,1.0654,-49.138,635.88,0,0,0,0
-0.70761,-0.37554,1.0612,-54.666,629.72,0,0,0,0
-0.70756,-0.37238,1.0595,-54.436,630.71,0,0,0,0
-0.70748,-0.36571,1.0556,-54.241,630.35,0,0,0,0
-0.70737,-0.36171,1.0546,-51.804,632.91,0,0,0,0
-0.7077,-0.3722,1.0557,-60.12,622.61,0,0,0,0
-0.70764,-0.36816,1.0538,-60.187,621.49,0,0,0,0
-0.70784,-0.37958,1.0589,-60.341,621.77,0,0,0,0
-0.70797,-0.3793,1.0553,-65.905,613.69,0,0,0,0
-0.7079,-0.37525,1.0535,-65.689,613.89,0,0,0,0
-0.70662,-0.34885,1.0621,-23.41,663.57,0,0,0,0
-0.70636,-0.34614,1.0665,-11.138,672.7,0,0,0,0
-0.7063,-0.34804,1.0699,-7.3634,675.74,0,0,0,0
-0.70645,-0.35238,1.07,-15.315,671.89,0,0,0,0
-0.70666,-0.34706,1.0594,-26.189,658.54,0,0,0,0
-0.70648,-0.34201,1.0594,-19.67,661.58,0,0,0,0
-0.70634,-0.34045,1.0615,-9.5358,669.68,0,0,0,0
-0.70623,-0.34225,1.0661,-4.1331,675.57,0,0,0,0
-0.70707,-0.35381,1.0553,-43.971,639.74,0,0,0,0
-0.70698,-0.35034,1.0542,-42.172,637.98,0,0,0,0
-0.70684,-0.34806,1.0556,-34.842,646.52,0,0,0,0
-0.70742,-0.36059,1.0524,-56.444,623.74,0,0,0,0
-0.70729,-0.35649,1.052,-52.68,627.01,0,0,0,0
-0.70688,-0.36606,1.0715,-31.321,657.68,0,0,0,0
-0.70668,-0.35985,1.071,-24.019,665.66,0,0,0,0
-0.70677,-0.36409,1.0727,-25.632,663.67,0,0,0,0
-0.70622,-0.3368,1.0613,-2.9464,670.76,0,0,0,0
-0.70627,-0.33518,1.0584,-6.1493,663.74,0,0,0,0
-0.70614,-0.33177,1.0586,0.81884,664,0,0,0,0
-0.70598,-0.33004,1.061,11.818,670.74,0,0,0,0
-0.70591,-0.33082,1.0634,16.552,676.66,0,0,0,0
-0.70604,-0.3348,1.0639,9.0222,676.89,0,0,0,0
-0.7066,-0.34093,1.0552,-25.577,650.85,0,0,0,0
-0.70656,-0.3387,1.0544,-23.753,646.98,0,0,0,0
-0.7064,-0.33604,1.0558,-15.339,653.31,0,0,0,0
-0.70605,-0.33994,1.0684,8.4179,680.19,0,0,0,0
-0.70594,-0.33573,1.0673,14.511,680.43,0,0,0,0
-0.70861,-0.3993,1.0572,-74.494,594.64,0,0,0,0
-0.70873,-0.40319,1.0576,-74.943,590.9,0,0,0,0
-0.70889,-0.40521,1.0551,-78.942,585.42,0,0,0,0
-0.70898,-0.40412,1.0519,-82.976,582.32,0,0,0,0
-0.70887,-0.40004,1.051,-82.758,584.46,0,0,0,0
-0.7087,-0.3979,1.0535,-78.381,591.26,0,0,0,0
-0.70838,-0.39193,1.0565,-71.897,602.77,0,0,0,0
-0.70832,-0.3935,1.0595,-68.998,604.46,0,0,0,0
-0.70845,-0.39753,1.0597,-70.343,600.31,0,0,0,0
-0.70858,-0.39397,1.0531,-77.252,594.94,0,0,0,0
-0.70802,-0.3884,1.0628,-62.123,614.73,0,0,0,0
-0.70816,-0.39205,1.0623,-64.564,609.81,0,0,0,0
-0.70822,-0.38732,1.0564,-69.425,607.47,0,0,0,0
-0.70804,-0.38593,1.0597,-63.988,614.28,0,0,0,0
